"state","site","lat","year","nightT","label"
"TX","College Station",30.628,2001,24.428747826087,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2002,24.6711558669002,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2003,24.9814608695652,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2004,23.9643661971831,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2005,26.0099307958478,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2006,24.5970557491289,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2007,23.6007903780069,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2008,25.9058960573477,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2009,26.8685121107266,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2010,25.3607291666667,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2011,27.3497743055556,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2012,24.6501238938053,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2013,25.5570710571924,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2014,24.3308333333333,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2015,24.0987368421053,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2016,24.6846276595745,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2017,25.1588966725044,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2018,26.1091418563923,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2019,24.7125130890052,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2020,24.7995008912656,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2021,24.2496880415945,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2022,28.0690017513135,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2023,26.8284816753927,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2024,25.1424912280702,"TX - College Station (30.6 N)"
"TX","College Station",30.628,2025,24.8274482758621,"TX - College Station (30.6 N)"
"AR","Keiser",35.676,2001,23.3354262295082,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2002,23.2673114754098,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2003,21.5350327868852,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2004,22.3484666666667,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2005,23.1389180327869,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2006,23.4549016393443,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2007,23.1595081967213,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2008,23.2135666666667,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2009,22.4885409836066,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2010,24.762868852459,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2011,24.8464590163934,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2012,24.0788666666667,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2013,22.0882950819672,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2014,21.7866721311475,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2015,24.2257704918033,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2016,24.3614666666667,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2017,23.2315737704918,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2018,24.1896721311475,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2019,22.8733606557377,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2020,23.4808666666667,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2021,23.1316065573771,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2022,24.3644754098361,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2023,22.963131147541,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2024,23.57955,"AR - Keiser (35.7 N)"
"AR","Keiser",35.676,2025,24.4368852459016,"AR - Keiser (35.7 N)"
