"year","tmin","state","site","lat","label"
1981,22.8744262295082,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1982,22.923606557377,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1983,21.5996721311475,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1984,22.3037704918033,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1985,22.0675409836066,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1986,22.7890163934426,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1987,22.2529508196721,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1988,22.3845901639344,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1989,22.1026229508197,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1990,23.5288524590164,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1991,22.6795081967213,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1992,22.307868852459,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1993,22.5419672131148,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1994,23.125737704918,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1995,22.096393442623,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1996,23.5619672131148,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1997,22.8462295081967,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1998,25.155737704918,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1999,23.1652459016393,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2000,23.442131147541,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2001,22.707868852459,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2002,22.9616393442623,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2003,23.3427868852459,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2004,22.5470491803279,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2005,23.6940983606557,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2006,22.6854098360656,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2007,22.3816393442623,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2008,23.7347540983607,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2009,24.4301639344262,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2010,23.8237704918033,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2011,24.7493442622951,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2012,22.9829508196721,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2013,23.3254098360656,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2014,22.6555737704918,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2015,22.6540983606557,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2016,23.2937704918033,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2017,23.4675409836066,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2018,23.9245901639344,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2019,23.095737704918,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2020,23.1195081967213,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2021,22.8316393442623,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2022,25.3390163934426,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2023,24.5339344262295,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2024,23.6831147540984,"TX","College Station",30.628,"TX - College Station (30.6 N)"
2025,23.4622950819672,"TX","College Station",30.628,"TX - College Station (30.6 N)"
1981,21.3067213114754,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1982,19.9213114754098,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1983,20.085737704918,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1984,19.9191803278689,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1985,19.6306557377049,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1986,22.2816393442623,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1987,20.9781967213115,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1988,20.3539344262295,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1989,20.2683606557377,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1990,20.415737704918,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1991,21.3196721311475,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1992,20.0313114754098,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1993,21.9439344262295,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1994,21.535737704918,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1995,20.5916393442623,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1996,20.274262295082,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1997,20.3922950819672,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1998,22.704262295082,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1999,21.8211475409836,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2000,20.4739344262295,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2001,20.8754098360656,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2002,21.0909836065574,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2003,19.6065573770492,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2004,20.4491803278689,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2005,20.9606557377049,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2006,21.06,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2007,20.9198360655738,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2008,21.0060655737705,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2009,20.3444262295082,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2010,22.8922950819672,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2011,22.7119672131148,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2012,21.5009836065574,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2013,20.0114754098361,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2014,19.8944262295082,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2015,22.5280327868852,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2016,22.4822950819672,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2017,21.2168852459016,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2018,22.4759016393443,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2019,21.1313114754098,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2020,21.5301639344262,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2021,21.285737704918,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2022,21.9373770491803,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2023,20.8511475409836,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2024,21.4398360655738,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
2025,22.722131147541,"AR","Keiser",35.676,"AR - Keiser (35.7 N)"
1981,19.2611475409836,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1982,17.7218032786885,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1983,18.524262295082,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1984,17.786393442623,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1985,16.5390163934426,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1986,20.2811475409836,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1987,19.5677049180328,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1988,18.787868852459,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1989,17.9785245901639,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1990,18.3944262295082,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1991,19.1850819672131,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1992,17.5849180327869,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1993,19.3993442622951,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1994,18.8531147540984,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1995,18.6295081967213,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1996,17.4632786885246,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1997,18.4608196721311,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1998,18.885737704918,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
1999,19.2024590163934,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2000,18.0226229508197,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2001,18.6672131147541,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2002,19.3480327868852,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2003,17.8480327868852,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2004,17.74,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2005,19.6759016393443,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2006,19.1493442622951,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2007,18.4329508196721,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2008,18.6055737704918,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2009,17.9732786885246,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2010,20.8081967213115,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2011,21.2424590163934,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2012,20.4991803278689,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2013,17.8472131147541,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
2014,18.0744262295082,"MO","Columbia",38.952,"MO - Columbia (39.0 N)"
