"location","year","local_date","Tmin_day","nightT_day","dayT_day","n_night_hr"
"Des_Arc",2010,2010-06-01,21.74,23.461,29.4128571428571,10
"Des_Arc",2010,2010-06-02,20.79,22.727,28.9828571428571,10
"Des_Arc",2010,2010-06-03,21.18,22.753,27.1914285714286,10
"Des_Arc",2010,2010-06-04,21.69,22.997,27.4121428571429,10
"Des_Arc",2010,2010-06-05,21.17,23.222,28.0271428571429,10
"Des_Arc",2010,2010-06-06,21.76,22.819,29.0057142857143,10
"Des_Arc",2010,2010-06-07,18.32,20.921,26.8207142857143,10
"Des_Arc",2010,2010-06-08,20.75,22.957,28.0821428571429,10
"Des_Arc",2010,2010-06-09,23.82,24.873,27.9264285714286,10
"Des_Arc",2010,2010-06-10,21.95,23.436,27.3007142857143,10
"Des_Arc",2010,2010-06-11,22.91,24.205,28.7278571428571,10
"Des_Arc",2010,2010-06-12,23.64,25.224,30.2564285714286,10
"Des_Arc",2010,2010-06-13,24.08,25.698,31.0021428571429,10
"Des_Arc",2010,2010-06-14,24.72,26.198,29.5128571428571,10
"Des_Arc",2010,2010-06-15,23.62,26.125,31.0214285714286,10
"Des_Arc",2010,2010-06-16,23.28,25.442,30.4407142857143,10
"Des_Arc",2010,2010-06-17,23.34,25.332,31.2514285714286,10
"Des_Arc",2010,2010-06-18,23.99,26.197,31.8278571428571,10
"Des_Arc",2010,2010-06-19,24.84,26.326,31.4985714285714,10
"Des_Arc",2010,2010-06-20,24.72,26.682,32.2221428571429,10
"Des_Arc",2010,2010-06-21,23.38,25.64,32.3435714285714,10
"Des_Arc",2010,2010-06-22,22.97,25.457,32.4471428571429,10
"Des_Arc",2010,2010-06-23,23.93,26.095,31.2392857142857,10
"Des_Arc",2010,2010-06-24,25.14,26.712,31.31,10
"Des_Arc",2010,2010-06-25,24.4,25.879,29.8892857142857,10
"Des_Arc",2010,2010-06-26,24.34,25.86,30.7678571428571,10
"Des_Arc",2010,2010-06-27,23.53,25.893,32.1314285714286,10
"Des_Arc",2010,2010-06-28,23.07,25.296,30.765,10
"Des_Arc",2010,2010-06-29,24.32,24.968,28.1371428571429,10
"Des_Arc",2010,2010-06-30,21.39,22.879,28.2085714285714,10
"Des_Arc",2010,2010-07-01,18.79,20.949,28.0778571428571,10
"Des_Arc",2010,2010-07-02,18.04,20.263,27.8064285714286,10
"Des_Arc",2010,2010-07-03,18.91,22.398,30.3557142857143,10
"Des_Arc",2010,2010-07-04,22.85,24.527,30.5442857142857,10
"Des_Arc",2010,2010-07-05,20.63,23.428,30.85,10
"Des_Arc",2010,2010-07-06,22.99,24.687,30.6492857142857,10
"Des_Arc",2010,2010-07-07,23.28,25.017,30.45,10
"Des_Arc",2010,2010-07-08,23.05,25.237,31.8,10
"Des_Arc",2010,2010-07-09,24.55,25.257,28.9121428571429,10
"Des_Arc",2010,2010-07-10,23.54,25.337,29.7928571428571,10
"Des_Arc",2010,2010-07-11,23.55,25.771,30.0871428571429,10
"Des_Arc",2010,2010-07-12,25.08,26.002,30.3628571428571,10
"Des_Arc",2010,2010-07-13,24.16,25.662,29.625,10
"Des_Arc",2010,2010-07-14,24.78,26.776,31.6335714285714,10
"Des_Arc",2010,2010-07-15,24.88,27.585,32.3007142857143,10
"Des_Arc",2010,2010-07-16,26.33,27.345,30.2935714285714,10
"Des_Arc",2010,2010-07-17,23.64,25.672,31.24,10
"Des_Arc",2010,2010-07-18,23.94,26.073,31.4414285714286,10
"Des_Arc",2010,2010-07-19,24.04,26.142,31.1214285714286,10
"Des_Arc",2010,2010-07-20,25.43,26.98,31.315,10
"Des_Arc",2010,2010-07-21,25.19,27.005,32.8914285714286,10
"Des_Arc",2010,2010-07-22,24.85,26.424,33.45,10
"Des_Arc",2010,2010-07-23,24.37,26.189,33.4185714285714,10
"Des_Arc",2010,2010-07-24,24.34,27.142,34.2478571428571,10
"Des_Arc",2010,2010-07-25,23.78,26.128,31.9785714285714,10
"Des_Arc",2010,2010-07-26,23.81,25.591,30.0992857142857,10
"Des_Arc",2010,2010-07-27,23.62,25.028,29.2992857142857,10
"Des_Arc",2010,2010-07-28,23.71,25.373,29.8621428571429,10
"Des_Arc",2010,2010-07-29,24.83,26.826,31.5607142857143,10
"Des_Arc",2010,2010-07-30,25.31,27.573,32.7078571428571,10
