year,location,mean_maxt,mean_mint,cum_radn,cum_rain,avg_t,above_32
2010,bell_farm,31.66126865671642,20.757910447761194,3109.33,439.3,26.209589552238807,76
2011,bell_farm,31.991119402985074,20.527462686567166,3009.68,599.39,26.25929104477612,88
2012,bell_farm,31.507142857142856,19.13233082706767,3069.07,211.97,25.319736842105264,67
2013,bell_farm,29.876617647058822,18.866470588235295,3015.16,460.56,24.37154411764706,60
2014,bell_farm,29.687285714285714,19.172214285714286,3020.78,513.73,24.42975,39
2015,bell_farm,31.511510791366906,20.60323741007194,3086.49,419.21999999999997,26.057374100719425,70
2017,bell_farm,29.42235294117647,18.641633986928106,3237.6,676.22,24.031993464052288,45
2018,bell_farm,31.04589928057554,20.58179856115108,3135.38,424.9,25.81384892086331,64
2019,bell_farm,29.955248226950356,20.26985815602837,3143.85,557.73,25.11255319148936,42
2021,bell_farm,29.051363636363636,18.632207792207794,3309.14,522.26,23.841785714285713,51
2010,keiser_nere,31.21970802919708,20.715255474452555,3160.14,479.94,25.967481751824817,71
2011,keiser_nere,31.749787234042554,20.426382978723403,3081.88,362.17,26.08808510638298,78
2012,keiser_nere,31.14835616438356,18.80760273972603,3375.06,262.42,24.977979452054793,68
2013,keiser_nere,30.002585034013606,19.485170068027212,3101.29,487.07,24.743877551020407,40
2015,keiser_nere,30.67986394557823,19.966938775510204,3209.16,458.28,25.323401360544217,60
2016,keiser_nere,29.31116129032258,19.725935483870966,3334.3,516.92,24.518548387096775,56
2017,keiser_nere,28.824905660377357,18.091006289308176,3398.85,648.02,23.45795597484277,39
2018,keiser_nere,30.92861313868613,21.3085401459854,3070.43,445.8,26.118576642335768,51
2019,keiser_nere,29.382608695652173,19.877536231884058,3003.72,483.96999999999997,24.630072463768116,32
2020,keiser_nere,28.72717391304348,19.067753623188405,3008.09,521.9,23.89746376811594,36
2021,keiser_nere,29.264451612903226,18.93058064516129,3300.65,511.2,24.097516129032257,46
2022,keiser_nere,31.087730061349692,19.332944785276073,3595.38,382.5,25.210337423312883,72
2023,keiser_nere,29.312865853658536,18.232804878048782,3613.45,529.55,23.77283536585366,46
2010,marianna,32.49785714285714,21.13264285714286,3238.66,407.64,26.81525,81
2011,marianna,34.886057692307695,22.766923076923078,2421.25,246.98,28.826490384615386,86
2012,marianna,31.646,19.343333333333334,3100.28,256.22,25.494666666666667,68
2014,marianna,29.440506329113923,18.619620253164555,3349.95,553.14,24.03006329113924,45
2015,marianna,30.468689655172415,19.780827586206897,3154.15,483.61,25.124758620689654,65
2016,marianna,30.433974358974357,20.08378205128205,3375.41,488.95,25.258878205128205,74
2018,marianna,31.560785714285714,20.729142857142858,3161.93,400.81,26.144964285714284,79
2019,marianna,30.234135338345865,20.543383458646616,2956.03,574.26,25.38875939849624,44
2021,marianna,29.06903448275862,18.887655172413794,3126.69,582.41,23.978344827586206,47
2022,marianna,32.028732394366195,20.766830985915494,3210.77,428.47,26.397781690140846,78
2023,marianna,31.27993710691824,19.539622641509435,3510.23,463.36,25.409779874213836,81
2010,rohwer,33.24945736434108,21.40418604651163,2951.78,320,27.326821705426358,82
2011,rohwer,33.28834482758621,20.629241379310344,3312.04,554.28,26.958793103448276,92
2012,rohwer,32.06902777777778,19.57701388888889,3257.12,309.79,25.823020833333334,79
2013,rohwer,32.185931034482756,20.06648275862069,3246.05,294.44,26.126206896551725,87
2014,rohwer,30.216466666666665,19.184333333333335,3236.44,490.15,24.7004,58
2015,rohwer,31.296283783783785,20.252567567567567,3205.73,450.1,25.774425675675676,69
2016,rohwer,30.029177215189872,19.430443037974683,3369.85,552.25,24.72981012658228,70
2017,rohwer,29.96354430379747,18.909240506329112,3269.54,678.65,24.43639240506329,55
2018,rohwer,31.543450704225354,20.02323943661972,3237.35,410.49,25.783345070422534,83
2019,rohwer,31.312957746478872,20.82323943661972,3179.28,573.95,26.068098591549298,65
2021,rohwer,30.607175572519083,20.437862595419848,2817.08,545.01,25.522519083969467,52
2022,rohwer,31.732337662337663,20.027727272727272,3376.1,531.91,25.880032467532466,84
2023,rohwer,31.793896103896103,19.987142857142857,3409.12,495.96999999999997,25.89051948051948,86
2010,stuttgart,32.658731343283584,21.232985074626864,3152.35,382.99,26.945858208955222,84
2011,stuttgart,32.73261744966443,20.551342281879194,3320.04,597.2,26.641979865771813,97
2012,stuttgart,32.72906474820144,20.13863309352518,3250.77,237.58,26.43384892086331,78
2013,stuttgart,31.321785714285713,19.5385,3132.93,320.12,25.430142857142858,75
2014,stuttgart,29.897218543046357,19.12701986754967,3195.19,488.75,24.512119205298013,48
2015,stuttgart,32.39071942446043,21.140647482014387,3112.44,325.18,26.76568345323741,78
2016,stuttgart,30.199625,19.9085,3434.17,521.59,25.0540625,70
2017,stuttgart,29.68632258064516,18.829548387096775,3281.32,662.3,24.257935483870966,51
2018,stuttgart,31.70974025974026,20.895584415584416,3423.83,447.82,26.302662337662337,88
2019,stuttgart,30.46619718309859,20.597323943661973,3154.01,580.16,25.53176056338028,51
2022,stuttgart,32.398986486486486,20.843513513513514,3330.98,418.59999999999997,26.62125,87
