year,location,mean_maxt,mean_mint,cum_radn,cum_rain,avg_t,above_32
2010,bell_farm,34.73161290322581,23.693870967741937,732.99,113.37,29.21274193548387,30
2011,bell_farm,36.33064516129032,24.301935483870967,744.16,50.67,30.316290322580645,31
2012,bell_farm,36.33451612903226,24.524516129032257,704.9,51.89,30.429516129032258,25
2013,bell_farm,32.58258064516129,20.91483870967742,702.19,88.98,26.748709677419356,21
2014,bell_farm,29.65967741935484,19.416774193548388,707.57,60.89,24.538225806451614,6
2015,bell_farm,34.71387096774193,24.19,726.77,97.1,29.45193548387097,25
2017,bell_farm,33.44774193548387,22.74741935483871,765.76,114.01,28.09758064516129,23
2018,bell_farm,33.983225806451614,23.453548387096774,717.12,70.99,28.718387096774194,25
2019,bell_farm,31.119677419354836,22.195806451612903,724.14,153.8,26.65774193548387,12
2021,bell_farm,32.04709677419355,22.28258064516129,706.72,106.44,27.16483870967742,15
2010,keiser_nere,33.313870967741934,23.26,758.63,135.14,28.286935483870966,23
2011,keiser_nere,34.612258064516126,23.678064516129034,760.47,54.87,29.14516129032258,28
2012,keiser_nere,36.03645161290323,24.29741935483871,736.3199999999999,58.57,30.16693548387097,23
2013,keiser_nere,30.51516129032258,20.19290322580645,701.78,113.2,25.354032258064517,9
2015,keiser_nere,33.46193548387097,23.765806451612903,708.59,105.47,28.613870967741935,23
2016,keiser_nere,32.70483870967742,23.6541935483871,702.12,101.81,28.179516129032258,19
2017,keiser_nere,32.93032258064516,22.599354838709676,764.25,107.59,27.76483870967742,22
2018,keiser_nere,32.48935483870968,22.894516129032258,727.71,65.92,27.691935483870967,18
2019,keiser_nere,30.91225806451613,22.099354838709676,710.84,145.5,26.5058064516129,9
2020,keiser_nere,32.465483870967745,23.24741935483871,729.68,78.92,27.856451612903225,24
2021,keiser_nere,31.626129032258063,22.031935483870967,707.46,122.02,26.829032258064515,14
2022,keiser_nere,35.85774193548387,24.155483870967743,742.8,82.55,30.006612903225808,29
2023,keiser_nere,32.460967741935484,22.248709677419356,694.06,148.27,27.35483870967742,19
2010,marianna,35.97548387096774,24.083225806451612,732.99,87.43,30.029354838709676,31
2011,marianna,36.91516129032258,24.621290322580645,744.16,59.69,30.768225806451614,30
2012,marianna,36.140967741935484,24.495806451612903,704.9,69.28,30.31838709677419,24
2014,marianna,30.436451612903227,19.850322580645162,707.57,74.94,25.143387096774195,8
2015,marianna,35.332903225806454,24.37548387096774,726.77,87.2,29.854193548387098,27
2016,marianna,35.05064516129032,24.36032258064516,730.57,135.3,29.705483870967743,26
2018,marianna,34.387419354838705,23.74741935483871,717.12,78.1,29.06741935483871,26
2019,marianna,31.330322580645163,22.392258064516128,724.14,149.82,26.861290322580643,14
2021,marianna,32.318064516129034,22.456774193548387,706.72,99.72,27.38741935483871,16
2022,marianna,36.686129032258066,24.594193548387096,752.45,91.83,30.64016129032258,29
2023,marianna,34.18096774193548,22.968064516129033,710.66,111.51,28.574516129032258,26
2010,rohwer,36.35064516129032,24.340645161290322,705.59,79.87,30.34564516129032,31
2011,rohwer,37.65483870967742,25.164516129032258,719.36,60.19,31.40967741935484,30
2012,rohwer,35.90741935483871,24.326451612903224,686.28,79.75,30.116935483870968,22
2013,rohwer,35.19,22.378064516129033,718.03,46.11,28.784032258064517,29
2014,rohwer,32.07096774193548,20.429354838709678,698.22,79.61,26.25016129032258,17
2015,rohwer,36.402258064516126,24.693548387096776,747.98,65.14,30.54790322580645,27
2016,rohwer,35.72322580645161,24.441612903225806,725.48,102.32,30.08241935483871,27
2017,rohwer,35.04129032258064,23.268709677419356,737.13,70.93,29.155,27
2018,rohwer,35.28612903225807,23.996129032258064,677.41,69.82000000000001,29.641129032258064,27
2019,rohwer,32.13967741935484,22.70064516129032,721.99,158.04,27.420161290322582,20
2021,rohwer,32.68290322580645,22.62451612903226,703.37,99.59,27.653709677419354,19
2022,rohwer,37.45161290322581,25.05677419354839,737.97,79.49,31.254193548387097,29
2023,rohwer,34.619677419354836,23.12516129032258,692.89,119.91,28.87241935483871,27
2010,stuttgart,36.04548387096774,24.15516129032258,735.56,80.35000000000001,30.100322580645162,31
2011,stuttgart,37.243870967741934,24.833870967741934,760.28,46.13,31.038870967741936,31
2012,stuttgart,36.63451612903226,24.711290322580645,735.98,53.13,30.67290322580645,25
2013,stuttgart,34.26225806451613,21.745483870967742,719.11,50.41,28.003870967741936,26
2014,stuttgart,30.81064516129032,19.894193548387097,701.19,75.8,25.35241935483871,10
2015,stuttgart,35.80741935483871,24.56967741935484,744.27,61.43,30.188548387096773,27
2016,stuttgart,35.14677419354839,24.375806451612902,726.89,112.36,29.761290322580646,27
2017,stuttgart,33.87838709677419,22.88,780.91,95.74,28.379193548387097,22
2018,stuttgart,34.92290322580645,23.93516129032258,712.32,64,29.429032258064517,27
2019,stuttgart,31.227096774193548,22.33451612903226,743.03,160.15,26.780806451612904,14
2022,stuttgart,36.76258064516129,24.620645161290323,747.52,79.48,30.691612903225806,29
