year,location,mean_maxt,mean_mint,cum_radn,cum_rain,avg_t,above_32
2010,bell_farm,31.661119402985076,20.758208955223882,3107.65,439.29,26.20966417910448,76
2011,bell_farm,31.991492537313434,20.52776119402985,3008.57,599.4,26.259626865671642,88
2012,bell_farm,31.506842105263157,19.132406015037596,3067.95,211.98,25.319624060150375,67
2013,bell_farm,29.876985294117645,18.86654411764706,3014.72,460.6,24.371764705882352,60
2014,bell_farm,29.68657142857143,19.172428571428572,3021.53,513.75,24.4295,39
2015,bell_farm,31.51158273381295,20.6031654676259,3086.76,419.21999999999997,26.057374100719425,70
2017,bell_farm,29.422156862745098,18.641633986928106,3239.54,676.2,24.031895424836602,46
2018,bell_farm,31.045827338129495,20.582302158273382,3134.6,424.91,25.81406474820144,64
2019,bell_farm,29.95531914893617,20.270212765957446,3144.13,557.74,25.112765957446808,43
2021,bell_farm,29.051623376623375,18.632532467532467,3311.29,522.24,23.842077922077923,51
2010,keiser_nere,31.22007299270073,20.714817518248175,3161.05,479.91,25.967445255474452,71
2011,keiser_nere,31.74950354609929,20.42695035460993,3085.56,362.15,26.08822695035461,78
2012,keiser_nere,31.14849315068493,18.808630136986302,3376.97,262.42,24.978561643835615,68
2013,keiser_nere,30.002585034013606,19.485442176870748,3106.78,487.07,24.744013605442177,40
2015,keiser_nere,30.68013605442177,19.966802721088435,3213.11,458.31,25.323469387755104,60
2016,keiser_nere,29.31193548387097,19.726193548387098,3338.47,516.88,24.51906451612903,56
2017,keiser_nere,28.82427672955975,18.091006289308176,3403.6,648.02,23.457641509433962,39
2018,keiser_nere,30.92868613138686,21.3092700729927,3071.86,445.8,26.118978102189782,51
2019,keiser_nere,29.382391304347827,19.878115942028984,3006.14,483.96999999999997,24.630253623188405,32
2020,keiser_nere,28.72695652173913,19.067391304347826,3010.26,521.89,23.897173913043478,36
2021,keiser_nere,29.264,18.930903225806453,3305.14,511.16,24.097451612903225,46
2022,keiser_nere,31.08754601226994,19.333435582822087,3601.72,382.5,25.21049079754601,72
2023,keiser_nere,29.31390243902439,18.2325,3618.42,529.58,23.773201219512195,46
2010,marianna,32.49821428571428,21.1325,3237.55,407.65,26.815357142857142,82
2011,marianna,34.88596153846154,22.767211538461538,2418.29,246.97,28.826586538461537,86
2012,marianna,31.64637037037037,19.343777777777778,3099.42,256.26,25.495074074074076,68
2014,marianna,29.440316455696202,18.619683544303797,3352.53,553.17,24.03,45
2015,marianna,30.469379310344827,19.780206896551725,3154.66,483.58,25.124793103448276,65
2016,marianna,30.434487179487178,20.08448717948718,3377.16,488.93,25.25948717948718,75
2018,marianna,31.56114285714286,20.72907142857143,3161.2,400.82,26.145107142857142,79
2019,marianna,30.234812030075187,20.543984962406014,2955.37,574.25,25.389398496240602,44
2021,marianna,29.068689655172413,18.88758620689655,3127.83,582.44,23.97813793103448,47
2022,marianna,32.02830985915493,20.76718309859155,3210.36,428.46000000000004,26.397746478873238,78
2023,marianna,31.280754716981132,19.539182389937107,3512.03,463.36,25.40996855345912,82
2010,rohwer,33.24968992248062,21.40403100775194,2947.77,320,27.32686046511628,82
2011,rohwer,33.288758620689656,20.629379310344827,3308.98,554.33,26.95906896551724,92
2012,rohwer,32.06902777777778,19.576875,3254.43,309.77,25.82295138888889,79
2013,rohwer,32.18544827586207,20.066689655172414,3244.05,294.44,26.12606896551724,87
2014,rohwer,30.21613333333333,19.184333333333335,3235.78,490.19,24.700233333333333,58
2015,rohwer,31.296824324324323,20.252027027027026,3204.39,450.14,25.774425675675676,69
2016,rohwer,30.029430379746834,19.43132911392405,3369.47,552.27,24.730379746835442,70
2017,rohwer,29.963354430379745,18.909367088607596,3270.11,678.64,24.43636075949367,55
2018,rohwer,31.54338028169014,20.023591549295773,3234.2,410.44,25.783485915492957,83
2019,rohwer,31.31330985915493,20.82380281690141,3177.36,573.96,26.06855633802817,66
2021,rohwer,30.60793893129771,20.43763358778626,2815.23,545.01,25.522786259541984,53
2022,rohwer,31.732142857142858,20.027142857142856,3374.62,531.93,25.87964285714286,84
2023,rohwer,31.79422077922078,19.986753246753246,3407.9,495.99,25.890487012987013,86
2010,stuttgart,32.65888059701493,21.232910447761196,3149.94,382.97,26.94589552238806,84
2011,stuttgart,32.73234899328859,20.551744966442953,3320.23,597.21,26.64204697986577,97
2012,stuttgart,32.728920863309355,20.139136690647483,3248.81,237.62,26.43402877697842,78
2013,stuttgart,31.322214285714285,19.539428571428573,3132.45,320.12,25.430821428571427,75
2014,stuttgart,29.896887417218544,19.12708609271523,3196.89,488.76,24.511986754966888,48
2015,stuttgart,32.39079136690648,21.1405035971223,3112.23,325.2,26.765647482014387,78
2016,stuttgart,30.199875,19.90925,3435.86,521.58,25.0545625,70
2017,stuttgart,29.68632258064516,18.829806451612903,3283.3,662.31,24.258064516129032,51
2018,stuttgart,31.708831168831168,20.895454545454545,3424.09,447.79,26.302142857142858,88
2019,stuttgart,30.466549295774648,20.597464788732395,3154.13,580.1800000000001,25.53200704225352,51
2022,stuttgart,32.399054054054055,20.842972972972973,3331.36,418.61,26.621013513513514,87
