location,year,month,min_mint,mean_mint,mean_maxt,avg_t,cum_radn,cum_rain,above_32,above_35,mean_vpd,mean_rh
harrisburg_neerec,2022,april,-0.89,8.8,20.9,14.8,553.4,178.3,0.0,0.0,0.4,77.4
harrisburg_neerec,2022,may,10.67,16.5,26.6,21.5,638.6,136.5,1.0,0.0,0.5,81.2
harrisburg_neerec,2022,june,15.31,19.7,31.1,25.4,745.9,40.8,15.0,2.0,0.9,72.9
harrisburg_neerec,2022,july,20.47,23.6,34.8,29.2,742.1,90.1,27.0,19.0,1.4,66.4
harrisburg_neerec,2022,august,17.85,21.7,31.6,26.6,673.1,103.3,14.0,1.0,0.9,73.5
harrisburg_neerec,2022,september,9.22,17.2,31.2,24.2,581.8,22.0,10.0,3.0,1.2,60.2
harrisburg_neerec,2023,april,3.47,9.3,20.5,14.9,577.4,116.2,0.0,0.0,0.4,75.7
harrisburg_neerec,2023,may,5.45,15.9,26.4,21.1,706.0,65.5,0.0,0.0,0.6,77.2
harrisburg_neerec,2023,june,16.16,19.5,30.8,25.1,737.7,84.6,8.0,3.0,0.9,72.2
harrisburg_neerec,2023,july,17.11,22.3,32.5,27.4,694.4,131.4,20.0,5.0,0.9,75.0
harrisburg_neerec,2023,august,15.34,22.1,33.6,27.9,633.3,87.1,22.0,10.0,1.2,69.7
harrisburg_neerec,2023,september,13.12,18.0,31.4,24.7,556.8,35.7,12.0,1.0,1.2,61.5
harrisburg_neerec,2024,april,2.71,11.8,23.0,17.4,546.8,89.4,0.0,0.0,0.5,75.8
harrisburg_neerec,2024,may,12.51,18.5,28.2,23.3,638.1,143.6,0.0,0.0,0.6,79.0
harrisburg_neerec,2024,june,15.15,20.8,31.7,26.2,704.1,78.8,15.0,4.0,1.0,71.4
harrisburg_neerec,2024,july,18.53,22.2,32.6,27.4,698.7,106.3,16.0,10.0,1.1,69.4
harrisburg_neerec,2024,august,14.7,21.9,35.1,28.5,711.3,32.2,25.0,19.0,1.8,55.0
harrisburg_neerec,2024,september,10.32,18.1,28.8,23.4,451.0,216.3,8.0,0.0,0.9,69.5
des_arc,2010,april,4.89,11.4,23.6,17.5,663.5,115.8,0.0,0.0,0.5,75.5
des_arc,2010,may,8.89,17.3,27.3,22.3,697.5,172.7,0.0,0.0,0.5,80.0
des_arc,2010,june,18.32,22.9,32.4,27.7,752.4,38.6,17.0,3.0,0.9,76.2
des_arc,2010,july,18.04,23.5,34.0,28.8,737.4,94.8,27.0,9.0,1.2,70.3
des_arc,2010,august,16.41,23.9,35.7,29.8,711.3,66.9,29.0,17.0,1.5,64.5
des_arc,2010,september,10.87,18.5,32.0,25.2,582.8,48.9,17.0,7.0,1.3,59.9
des_arc,2011,april,1.39,11.5,24.2,17.8,576.3,270.5,0.0,0.0,0.5,76.4
des_arc,2011,may,6.23,14.3,25.3,19.8,674.6,219.4,0.0,0.0,0.5,80.3
des_arc,2011,june,20.08,22.3,33.0,27.7,741.6,48.4,23.0,2.0,1.0,72.4
des_arc,2011,july,20.45,24.3,35.7,30.0,762.8,45.4,30.0,17.0,1.4,66.4
des_arc,2011,august,18.65,23.6,35.2,29.4,654.3,111.6,26.0,12.0,1.5,65.6
des_arc,2011,september,9.92,15.7,29.7,22.7,552.1,48.3,8.0,3.0,1.1,59.1
des_arc,2012,april,4.99,12.3,23.3,17.8,627.2,39.7,0.0,0.0,0.5,77.3
des_arc,2012,may,11.08,17.4,28.7,23.0,721.4,43.7,5.0,0.0,0.8,72.8
des_arc,2012,june,14.17,19.4,32.8,26.1,779.2,43.4,17.0,7.0,1.4,60.5
des_arc,2012,july,22.07,24.7,36.7,30.7,738.1,37.6,25.0,22.0,2.0,57.6
des_arc,2012,august,16.63,22.4,35.3,28.9,658.7,75.3,26.0,20.0,1.9,53.0
des_arc,2012,september,9.25,17.7,28.3,23.0,548.0,167.5,6.0,1.0,0.7,74.6
des_arc,2013,april,1.75,8.9,20.9,14.9,544.6,132.7,0.0,0.0,0.3,79.2
des_arc,2013,may,1.84,15.1,24.7,19.9,642.6,153.7,0.0,0.0,0.5,80.4
des_arc,2013,june,15.15,20.3,30.7,25.5,738.3,54.2,10.0,2.0,0.8,75.0
