date,doy,mint,maxt,mean_temp
2025-03-01,60,2.25,14.1,8.175
2025-03-02,61,-0.9,12.69,5.895
2025-03-03,62,3.09,14.53,8.809999999999999
2025-03-04,63,3.95,16.91,10.43
2025-03-05,64,-1.99,7.4,2.705
2025-03-06,65,-3.3,14.18,5.4399999999999995
2025-03-07,66,4.12,20.54,12.33
2025-03-08,67,1.56,12.28,6.92
2025-03-09,68,1.35,15.98,8.665000000000001
2025-03-10,69,0.59,19.45,10.02
2025-03-11,70,4.7,22.28,13.49
2025-03-12,71,7.49,22.78,15.135000000000002
2025-03-13,72,10.59,24.08,17.335
2025-03-14,73,12.22,22.93,17.575
2025-03-15,74,3.58,15.33,9.455
2025-03-16,75,-0.64,12.3,5.83
2025-03-17,76,1.82,20.05,10.935
2025-03-18,77,10.41,21.05,15.73
2025-03-19,78,1.23,16.35,8.790000000000001
2025-03-20,79,0.02,10.86,5.4399999999999995
2025-03-21,80,1.67,16.97,9.32
2025-03-22,81,2.03,19.69,10.860000000000001
2025-03-23,82,6.21,18.06,12.135
2025-03-24,83,2.74,20.03,11.385000000000002
2025-03-25,84,7.9,21.47,14.684999999999999
2025-03-26,85,8,24.31,16.155
2025-03-27,86,11.42,24.44,17.93
2025-03-28,87,13.5,20.27,16.884999999999998
2025-03-29,88,14.51,24.72,19.615
2025-03-30,89,8.36,21.14,14.75
2025-03-31,90,4.02,17.18,10.6
2025-04-01,91,6.88,19.75,13.315
2025-04-02,92,10.67,25.5,18.085
2025-04-03,93,9.78,14.41,12.094999999999999
2025-04-04,94,8.17,23.81,15.989999999999998
2025-04-05,95,4.64,9.44,7.039999999999999
2025-04-06,96,1.94,9.16,5.55
2025-04-07,97,-1.04,16.03,7.495000000000001
2025-04-08,98,0.58,19.68,10.129999999999999
2025-04-09,99,5.71,22.07,13.89
2025-04-10,100,9.13,23.41,16.27
2025-04-11,101,6.76,18.33,12.544999999999998
2025-04-12,102,5.53,21.76,13.645000000000001
2025-04-13,103,11.87,25.74,18.805
2025-04-14,104,10.53,22.61,16.57
2025-04-15,105,4.43,17.62,11.025
2025-04-16,106,5.67,22.39,14.030000000000001
2025-04-17,107,13.35,24.67,19.01
2025-04-18,108,18.01,21.89,19.950000000000003
2025-04-19,109,12.57,18.97,15.77
2025-04-20,110,9.86,22.53,16.195
2025-04-21,111,6.54,23.67,15.105
2025-04-22,112,9.82,24.6,17.21
2025-04-23,113,13.23,23.98,18.605
2025-04-24,114,13.19,22.45,17.82
2025-04-25,115,15.29,25.76,20.525
2025-04-26,116,14.04,21.3,17.67
2025-04-27,117,15.16,25.13,20.145
2025-04-28,118,18.12,24.63,21.375
2025-04-29,119,17.66,22.02,19.84
2025-04-30,120,17.33,21.32,19.325
2025-05-01,121,14.73,23.86,19.295
2025-05-02,122,11.72,19.3,15.510000000000002
2025-05-03,123,8.49,18.55,13.52
2025-05-04,124,5.63,19.54,12.584999999999999
2025-05-05,125,7.89,22.74,15.315
2025-05-06,126,9.52,20.7,15.11
2025-05-07,127,13.03,20.89,16.96
2025-05-08,128,11.99,21.39,16.69
2025-05-09,129,12.3,23.5,17.9
