year,day,radn,maxt,mint,rain,rh,windspeed,date,mean_temp,month,location
2024,60,17.21,10.41,-2.91,2.6,64.01,0.77,2024-02-29,3.75,2,fayetteville_sarec
2024,61,14.92,13.15,-0.89,0.02,83.09,0.66,2024-03-01,6.13,3,fayetteville_sarec
2024,62,19.29,20.43,4,0.04,84.62,1.23,2024-03-02,12.215,3,fayetteville_sarec
2024,63,18.9,22.33,10.95,0,86.16,1.29,2024-03-03,16.64,3,fayetteville_sarec
2024,64,13.99,22.47,15.19,1,90.08,1.12,2024-03-04,18.83,3,fayetteville_sarec
2024,65,15.9,21.29,8.64,2.28,85.38,0.69,2024-03-05,14.965,3,fayetteville_sarec
2024,66,14.63,19.94,7.92,0.34,84.15,0.67,2024-03-06,13.93,3,fayetteville_sarec
2024,67,5.61,17.71,12.01,5.73,87.65,1.16,2024-03-07,14.86,3,fayetteville_sarec
2024,68,5.75,16.95,5.38,11.81,88.33,0.9,2024-03-08,11.165,3,fayetteville_sarec
2024,69,20.98,11.38,0.62,4.04,69.66,1.07,2024-03-09,6,3,fayetteville_sarec
2024,70,20.75,16.51,-0.58,0,59.42,0.66,2024-03-10,7.965000000000001,3,fayetteville_sarec
2024,71,21.29,18.08,0.82,0,70.6,0.79,2024-03-11,9.45,3,fayetteville_sarec
2024,72,18.73,19.72,5.98,0.01,82.66,1.05,2024-03-12,12.85,3,fayetteville_sarec
2024,73,18.64,23.12,13.41,0,85.62,1.06,2024-03-13,18.265,3,fayetteville_sarec
2024,74,6.38,22.44,14.79,27.09,93.37,0.91,2024-03-14,18.615000000000002,3,fayetteville_sarec
2024,75,14.88,18.06,6.25,0.13,80.09,0.85,2024-03-15,12.155,3,fayetteville_sarec
2024,76,18.53,19.24,5.38,0.02,75.23,0.6,2024-03-16,12.309999999999999,3,fayetteville_sarec
2024,77,21.38,14.66,1.5,0.02,60.79,0.9,2024-03-17,8.08,3,fayetteville_sarec
2024,78,23.86,7,-2.55,0,61.46,0.88,2024-03-18,2.225,3,fayetteville_sarec
2024,79,22.68,17.22,-3.18,0,66.47,0.9,2024-03-19,7.02,3,fayetteville_sarec
2024,80,19.41,22.33,3.94,0.41,72.84,0.56,2024-03-20,13.135,3,fayetteville_sarec
2024,81,15.17,19.1,9.09,0.33,83.79,0.62,2024-03-21,14.095,3,fayetteville_sarec
2024,82,10.96,17.08,5.05,0.89,81.19,0.74,2024-03-22,11.065,3,fayetteville_sarec
2024,83,20.48,16.82,1.32,0.01,69.35,0.73,2024-03-23,9.07,3,fayetteville_sarec
2024,84,10.82,14.5,5.33,2.04,69.67,1.31,2024-03-24,9.915,3,fayetteville_sarec
2024,85,6.04,16.84,2.88,37.74,84.39,0.94,2024-03-25,9.86,3,fayetteville_sarec
2024,86,12.19,8.73,-0.66,0.06,68.81,0.94,2024-03-26,4.035,3,fayetteville_sarec
2024,87,23.29,14.56,-3.04,0.01,64.72,0.38,2024-03-27,5.76,3,fayetteville_sarec
2024,88,24.37,17.63,0.35,0.01,66.38,0.55,2024-03-28,8.99,3,fayetteville_sarec
2024,89,18.32,19.55,6.92,0,78.76,0.93,2024-03-29,13.235,3,fayetteville_sarec
2024,90,9.24,23.52,10.74,0,85,0.59,2024-03-30,17.13,3,fayetteville_sarec
2024,91,13.5,23.19,15.35,0,87.67,0.78,2024-03-31,19.27,3,fayetteville_sarec
2024,92,8.65,21.7,17.56,8.2,95.25,0.7,2024-04-01,19.63,4,fayetteville_sarec
2024,93,5.6,19.64,4.35,3.29,86.83,0.8,2024-04-02,11.995000000000001,4,fayetteville_sarec
